Pressure Data
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
15415
15591
15591
15591
15703
16519
16775
17480
17720
17720
17720
17800
18040
18392
18760
19144
19640
20073
20601
21241
21994
22826
23594
24235
24587
24699
24827
24859
24987
25211
25227
25323
25467
25467
25355
25355
25403
25403
25371
25227
25195
25179
25083
25003
24923
25003
25003
25275
25003
24827
24779
24779
24539
24539
24539
24795
25195
25195
25003
24763
24763
25227
25227
25227
25227
25883
25531
25883
25531
25995
26412
26412
26412
26508
26508
26668
26812
26812
26476
26444
26348
26412
26412
26412
26027
25579
25579
25531
25531
25531
25643
25643
25531
25531
25739
25819
25883
25883
26027
26412
26700
26700
26732
27420
27548
27628
28332
28332
28060
28060
28060
28124
28284
28813
28813
28845
28973
29085
29277
29437
29565
29709
29853
29981
30141
30317
30317
30253
30253
30253
30253
30141
29981
29805
29565
29149
28733
28316
27740
26924
25931
24811
23162
20745
16647
9236
0
0
0
0
0
0
0
0
0
0
0
0
