Coordinate Data,
312,287
312,287
276,123
277,123
278,123
279,122
280,122
281,122
283,121
284,121
285,120
287,119
288,118
290,118
291,117
293,116
295,115
297,114
298,113
299,113
301,112
302,111
302,110
303,109
303,108
303,107
303,106
302,104
302,103
301,102
300,101
299,99
298,98
297,96
295,93
294,91
293,90
292,88
291,87
289,85
288,84
286,82
284,81
282,80
277,77
275,76
272,75
269,74
266,73
263,72
260,72
257,71
253,70
250,69
247,69
241,68
238,68
235,68
232,68
229,68
222,68
219,69
216,69
213,70
209,70
206,71
203,72
200,73
197,74
194,75
191,76
185,79
182,80
179,82
176,83
174,85
171,87
168,88
165,90
163,92
160,94
157,96
155,98
153,100
150,102
148,104
146,106
144,108
142,110
140,112
138,115
136,117
134,119
132,122
130,124
129,127
127,129
125,132
124,134
122,137
121,140
119,143
118,145
117,148
116,151
115,154
114,157
113,160
112,162
111,165
111,168
110,171
109,173
109,176
108,179
108,182
108,184
108,187
108,190
108,193
108,195
109,198
109,201
109,204
110,206
110,209
111,212
111,215
112,218
113,220
114,223
115,226
116,228
117,231
119,234
120,236
122,239
123,241
125,244
126,246
128,248
130,251
131,253
133,255
135,257
137,259
139,261
141,262
144,264
146,266
148,267
151,269
153,270
155,272
157,273
160,275
162,276
164,277
166,278
168,279
171,279
173,280
176,280
179,281
181,281
184,282
187,282
190,282
193,282
197,282
200,282
203,282
206,282
209,282
212,282
215,281
218,281
221,280
224,279
227,279
230,278
233,277
235,276
238,274
241,273
244,272
247,270
249,269
251,268
254,267
256,265
258,264
260,263
262,261
264,260
266,259
268,257
270,256
272,254
274,252
275,250
277,248
279,246
281,244
282,242
284,240
285,238
286,236
287,234
288,232
289,230
290,228
291,226
292,224
293,221
293,219
294,216
295,214
296,212
297,209
298,207
298,204
299,202
300,200
301,197
301,195
302,193
303,190
303,188
304,185
305,182
306,180
306,177
306,175
307,173
307,170
307,168
307,166
307,163
307,161
306,158
306,156
306,154
306,151
306,149
306,147
306,145
306,142
306,140
306,138
306,136
306,134
306,131
307,129
307,127
307,124
307,122
307,120
306,118
306,116
306,114
305,113
305,111
304,110
303,108
303,107
302,106
302,105
301,104
300,103
300,102
299,101
299,100
298,99
297,98
297,97
296,97
295,96
294,96
293,96
293,95
292,95
291,95
290,93
289,92
288,90
288,89
287,88
287,87
286,86
286,85
378,78
377,78
376,78
375,79
374,79
373,79
372,79
371,79
371,80
371,81
372,81
373,81
374,81
375,81
376,81
377,82
379,82
380,82
381,83
382,83
383,83
384,83
384,84
385,84
385,85
386,85
386,86
387,86
387,87
388,88
389,89
389,90
390,92
391,93
392,94
393,96
394,97
394,98
395,100
396,102
397,103
398,105
398,107
399,109
400,111
401,113
402,115
404,117
405,120
406,123
406,125
407,128
408,131
409,134
410,137
411,140
412,143
413,147
414,150
415,153
416,157
417,160
418,164
419,167
422,175
423,179
424,183
426,187
427,191
428,195
429,200
430,204
431,209
432,213
433,218
434,222
434,226
435,231
435,235
436,239
437,243
437,247
438,251
439,255
440,258
441,262
441,265
442,269
443,272
444,275
444,278
445,280
446,283
447,285
447,287
448,289
449,291
450,293
450,295
451,296
452,297
452,298
453,299
453,300
454,300
454,301
455,301
456,301
457,300
458,299
459,299
460,298
462,296
463,295
464,293
465,292
467,290
468,288
470,286
472,283
473,281
475,278
476,275
478,272
480,269
482,266
484,263
485,259
487,256
489,253
491,250
493,247
495,244
496,241
498,238
500,235
502,232
506,226
508,223
509,221
511,218
512,216
513,214
515,212
516,210
517,208
519,207
520,206
521,205
522,204
523,203
524,203
524,202
525,202
526,203
527,203
527,204
528,205
529,206
530,207
531,208
533,210
534,211
535,213
537,215
538,217
539,219
541,222
542,224
543,227
544,230
545,233
547,236
548,240
549,243
551,246
552,250
554,253
555,257
556,260
558,264
559,268
561,271
562,275
564,278
565,282
567,285
568,288
570,291
572,294
573,296
574,299
576,301
577,303
578,305
579,306
581,308
582,309
583,309
584,310
585,310
587,310
588,310
589,310
591,309
592,309
593,308
595,306
596,305
598,302
599,300
601,298
603,295
605,292
607,289
608,285
610,282
612,278
614,273
615,269
617,264
618,260
619,255
621,250
622,245
622,239
623,234
624,228
625,223
625,217
626,211
627,205
627,199
628,194
628,188
629,182
629,177
630,171
630,166
631,161
631,155
632,150
633,146
634,141
636,132
637,127
638,123
639,118
640,115
641,111
642,108
643,105
644,102
644,100
645,98
645,96
645,95
646,94
646,93
646,92
647,92
649,85
777,99
778,98
778,97
778,96
778,95
778,94
778,93
778,92
778,91
778,90
778,89
777,88
777,87
776,86
776,85
775,84
774,84
773,84
772,84
771,84
770,84
769,84
768,85
766,85
765,86
764,86
763,86
762,86
762,87
762,88
761,89
761,91
761,92
760,94
760,96
760,98
759,100
759,102
759,105
758,108
758,111
757,113
757,117
756,120
755,124
754,127
753,131
752,136
752,140
751,144
750,149
749,154
748,159
746,164
745,169
744,174
742,179
741,185
740,190
738,196
737,202
735,207
734,213
732,219
731,225
729,230
728,236
726,242
725,247
724,252
722,257
721,263
720,267
719,272
719,276
718,280
717,284
717,289
717,292
717,294
717,295
717,297
717,298
717,299
717,300
717,301
717,302
718,303
719,304
721,304
722,304
724,304
727,304
731,304
735,303
739,303
745,303
751,302
757,302
764,302
771,301
778,301
786,301
794,300
802,300
811,299
819,299
828,298
837,298
846,298
855,297
864,297
872,297
881,296
889,296
897,296
905,296
912,296
919,295
925,295
931,295
936,295
941,294
945,294
948,294
950,294
953,294
954,293
953,293
951,292
953,290
960,280
977,262
1023,207
1091,130
1156,56
