Coordinate Data,
288,179
288,179
448,550
449,550
450,550
451,550
452,550
453,550
454,550
455,551
456,551
457,551
458,552
459,552
460,552
461,552
462,551
463,550
464,549
464,548
463,547
463,546
463,543
462,542
462,540
462,538
462,536
462,534
462,532
462,530
462,528
462,525
462,522
463,520
463,517
463,514
463,510
463,507
464,504
465,497
466,493
466,489
467,486
469,481
470,477
471,473
473,468
474,464
475,459
477,454
478,449
479,444
480,439
481,435
482,430
483,425
484,420
484,415
486,406
487,402
488,397
489,393
490,388
492,384
494,379
496,375
498,371
500,366
502,362
505,358
507,354
509,350
512,346
514,342
516,339
518,335
520,332
522,329
524,326
526,323
528,320
531,318
533,316
535,314
537,312
539,310
541,309
543,307
545,306
547,305
548,304
550,303
551,302
552,302
553,301
554,301
555,301
556,300
558,300
559,300
561,299
562,299
563,299
565,299
567,299
568,299
569,299
570,300
571,300
572,300
573,301
574,301
575,302
576,303
577,303
578,304
579,305
580,306
581,307
583,308
584,309
585,310
586,311
589,314
591,315
592,317
594,319
595,321
597,322
598,324
599,326
601,328
602,330
603,332
605,335
606,337
607,339
608,342
609,344
610,347
611,350
612,353
613,356
614,359
615,362
616,365
617,369
617,372
618,376
619,379
619,383
620,387
620,391
621,395
621,399
621,404
621,408
621,412
622,417
622,421
622,426
622,430
622,435
622,439
622,444
622,448
622,453
622,458
622,462
623,472
623,476
623,481
624,485
624,490
624,494
624,498
624,503
624,507
624,511
625,516
625,520
625,524
625,528
625,531
625,535
625,539
625,542
626,545
626,551
627,554
627,556
628,559
628,560
628,562
629,564
629,565
629,566
629,567
629,568
630,569
630,570
630,569
630,567
629,566
629,565
628,564
627,563
627,561
627,560
627,559
626,558
445,451
445,449
445,448
445,447
447,446
448,445
449,445
450,444
452,443
454,443
457,442
458,442
460,442
461,442
462,442
462,441
463,441
464,442
465,442
466,442
467,442
468,442
469,442
469,441
470,441
470,442
471,443
471,444
472,445
473,445
473,446
474,446
475,446
476,446
478,446
480,446
487,446
491,445
496,445
501,445
507,445
513,444
519,444
525,444
532,444
538,443
544,443
550,443
555,443
560,443
566,443
571,443
576,443
581,442
586,442
597,442
603,441
608,441
614,440
619,440
624,440
628,440
632,440
636,440
638,439
640,439
642,439
643,439
642,439
641,439
640,439
638,439
636,439
631,439
626,438
623,438
622,437
620,436
619,435
617,433
616,431
616,429
619,426
624,416
633,404
648,387
665,367
686,344
712,319
738,297
769,272
794,250
825,220
859,190
892,167
925,141
956,116
992,85
1015,65
1040,45
1070,26
1092,8
1292,4
1281,23
1268,40
1259,56
1253,67
1249,73
1246,78
1245,81
1244,82
1244,84
1243,84
1243,85
1243,86
1243,85
1243,84
1243,83
1243,82
1244,80
1247,77
1255,68
1268,53
1288,27
